,title,tmdb_id,year,budget,vote_count,vote_average,runtime,popularity,view_count,like_count,dislike_count,comment_count,film-noir,mystery,action,imax,sci-fi,romance,musical,comedy,war,crime,children,fantasy,horror,drama,western,adventure,animation,thriller,revenue,predicted,difference,percent_off
163,The Twilight Saga: Breaking Dawn - Part 2,50620,2012,120000000.0,6509.0,6.4,115.0,69.922,67282177,157872,19541,35150,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,829000000.0,681866782,147133218.0,18.0
280,Begin Again,198277,2013,8000000.0,2698.0,7.3,104.0,19.703,14393791,48552,1209,1840,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,63464861.0,49412929,14051932.0,22.0
627,Godzilla: King of the Monsters,373571,2019,170000000.0,2990.0,6.4,132.0,121.874,72154770,886899,28773,138685,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,386600138.0,364641577,21958561.0,6.0
3,Percy Jackson & the Olympians: The Lightning Thief,32657,2010,95000000.0,5399.0,6.2,119.0,44.19300000000001,7424212,18935,1421,6705,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,226497209.0,263312605,-36815396.0,16.0
8,Clash of the Titans,18823,2010,125000000.0,4531.0,5.8,106.0,30.914,416052,1707,67,120,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,493214993.0,277082322,216132671.0,44.0
579,Truth or Dare,460019,2018,3500000.0,2835.0,6.0,100.0,36.125,25863266,180225,12944,16063,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,95330493.0,102523354,-7192861.0,8.0
558,Downsizing,301337,2017,68000000.0,2530.0,5.2,135.0,26.47300000000001,14874798,48394,3840,6247,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,55003890.0,170593746,-115589856.0,210.0
333,Into the Woods,224141,2014,50000000.0,3447.0,5.8,125.0,21.712,20383620,61013,2557,1140,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,212902372.0,214536165,-1633793.0,1.0
142,The Amazing Spider-Man,1930,2012,215000000.0,12190.0,6.6,136.0,50.148,21112870,74661,7717,26514,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,757930663.0,791661914,-33731251.0,4.0
152,Frankenweenie,62214,2012,39000000.0,2191.0,6.8,87.0,37.889,2697523,10358,418,1383,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,35287788.0,142380605,-107092817.0,303.0
380,Spy,238713,2015,65000000.0,4632.0,6.8,120.0,23.978,19424138,56754,2417,2530,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,235666219.0,178616003,57050216.0,24.0
