tmdb_id,weekday_released,month_released,day_released,year_released
278927,Friday,4,15,2016
203801,Friday,8,14,2015
285783,Friday,10,2,2015
300671,Friday,1,15,2016
281957,Friday,1,8,2016
307081,Friday,7,24,2015
273481,Friday,10,2,2015
257211,Friday,9,25,2015
264644,Friday,11,6,2015
328425,Friday,8,7,2015
310131,Friday,2,19,2016
298312,Friday,9,11,2015
277216,Friday,8,14,2015
274479,Friday,12,25,2015
276907,Friday,11,20,2015
306819,Friday,1,22,2016
253412,Friday,9,25,2015
314365,Wednesday,11,25,2015
295964,Friday,10,23,2015
159824,Friday,9,25,2015
287947,Friday,4,5,2019
297802,Friday,12,21,2018
297762,Friday,6,2,2017
339988,Friday,4,28,2017
296098,Friday,10,16,2015
353616,Friday,12,22,2017
270487,Friday,2,5,2016
257445,Friday,10,16,2015
312221,Wednesday,11,25,2015
299687,Friday,1,15,2016
318846,Wednesday,12,23,2015
259694,Friday,2,12,2016
274167,Friday,12,25,2015
140300,Friday,1,29,2016
321258,Friday,1,22,2016
291870,Friday,1,22,2016
296096,Friday,6,3,2016
205584,Friday,2,26,2016
333371,Friday,3,11,2016
267860,Friday,3,4,2016
269149,Friday,3,4,2016
301365,Friday,6,24,2016
290595,Friday,4,22,2016
325133,Friday,5,20,2016
303858,Friday,5,13,2016
127380,Friday,6,17,2016
153518,Friday,5,20,2016
302401,Friday,9,16,2016
290250,Friday,5,20,2016
332567,Friday,6,24,2016
241259,Friday,5,27,2016
267935,Friday,7,1,2016
223702,Friday,8,12,2016
334533,Friday,7,8,2016
291805,Friday,6,10,2016
347031,Friday,7,1,2016
308531,Friday,6,3,2016
259693,Friday,6,10,2016
43074,Friday,7,15,2016
302699,Friday,6,17,2016
324668,Friday,7,29,2016
258489,Friday,7,1,2016
316727,Friday,7,1,2016
278154,Friday,7,22,2016
345911,Friday,7,22,2016
328387,Wednesday,7,27,2016
363676,Friday,9,9,2016
308266,Friday,8,19,2016
376659,Friday,7,29,2016
338766,Friday,8,26,2016
300669,Friday,8,26,2016
376660,Friday,11,18,2016
396535,,0,0,0
278924,Friday,8,26,2016
333484,Friday,9,23,2016
313297,Friday,8,19,2016
95610,Friday,9,16,2016
296524,Friday,9,30,2016
283366,Friday,9,30,2016
346685,Friday,10,7,2016
302946,Friday,10,14,2016
372058,,0,0,0
324786,Friday,11,4,2016
258230,Friday,1,6,2017
329865,Friday,11,11,2016
313369,Friday,12,16,2016
369885,Wednesday,11,23,2016
207932,Friday,10,28,2016
136799,Friday,11,4,2016
343611,Friday,10,21,2016
334541,Friday,12,16,2016
334543,Friday,1,6,2017
397243,,0,0,0
345920,Friday,12,16,2016
277834,Wednesday,11,23,2016
330459,Friday,12,16,2016
381288,Friday,1,20,2017
346672,Friday,1,6,2017
274870,Wednesday,12,21,2016
381284,Sunday,12,25,2016
311324,Friday,2,17,2017
310307,Friday,1,20,2017
356305,Friday,12,23,2016
335797,Wednesday,12,21,2016
121856,Wednesday,12,21,2016
381289,Friday,1,27,2017
340837,Friday,2,17,2017
47971,Saturday,2,25,2017
324849,Friday,2,10,2017
411088,,0,0,0
324552,Friday,2,10,2017
419430,Friday,2,24,2017
263115,Friday,3,3,2017
293167,Friday,3,10,2017
180863,Friday,3,31,2017
397837,Friday,3,3,2017
274857,Friday,5,12,2017
321612,Friday,3,17,2017
295693,Friday,3,31,2017
398818,Friday,1,19,2018
315837,Friday,3,31,2017
341174,Friday,2,10,2017
395992,Friday,3,24,2017
382591,,0,0,0
305470,Friday,3,24,2017
126889,Friday,5,19,2017
400928,Wednesday,4,12,2017
417678,Friday,5,19,2017
339846,Friday,5,26,2017
282035,Friday,6,9,2017
337339,Friday,4,14,2017
260514,Friday,6,16,2017
339403,Wednesday,6,28,2017
324852,Friday,6,30,2017
281338,Friday,7,14,2017
339964,Friday,7,21,2017
406990,,0,0,0
341013,Friday,7,28,2017
374720,Friday,7,21,2017
335988,Wednesday,6,21,2017
399170,Friday,8,18,2017
353491,Friday,8,4,2017
396422,Friday,8,11,2017
